competition,confederation,rank,important,main,supplementary
FIFA Club World Cup,FIFA,1,R16,GS,
FIFA Intercontinental Cup,FIFA,2,SF,R1,
UEFA Champions League,UEFA,3,R16,GS,
UEFA Europa League,UEFA,4,SF,RO16,full
UEFA Super Cup,UEFA,5,F,,
CONMEBOL Libertadores,CONMEBOL,6,F,RO16,full
UEFA Conference League,UEFA,7,F,QF,full
AFC Champions League Elite,AFC,8,F,QF,full
CONCACAF Champions Cup,CONCACAF,9,F,QF,full
CAF Champions League,CAF,10,F,QF,full
CONMEBOL Sudamericana,CONMEBOL,11,,SF,full
CONMEBOL Recopa,CONMEBOL,12,,F,
AFC Champions League Two,AFC,13,,SF,full
CAF Confederations Cup,CAF,14,,SF,full
CAF Super Cup,CAF,15,,F,
Arab Club Champions Cup,UAFA,16,,SF,full
Leagues Cup,NAFU,17,,SF,full
Campeones Cup,NAFU,18,,F,
CONCACAF Central American Cup,CONCACAF,19,,F,full
OFC Professional League,OFC,20,,F,full
OFC Men's Champions League,OFC,21,,F,full
AFC Challenge League,AFC,22,,F,full
CONCACAF Caribbean Cup,CONCACAF,23,,F,full
AGCFF Gulf Club Champions League,AGCFF,24,,F,
ASEAN Club Championship,AFF,25,,F,
CECAFA Kagame Cup,CECAFA,26,,F,
CFU Club Shield,CFU,27,,,full
