country,confederation,teams,total_market_value,average_market_value,top_tier_important,top_tier_main,top_tier_supplementary,second_tier_important,second_tier_main,second_tier_supplementary,main_cup_important,main_cup_main,main_cup_supplementary,league_cup_important,league_cup_main,league_cup_supplementary,super_cup_important,super_cup_main,super_cup_supplementary,state_championship_important,state_championship_main,state_championship_supplementary
England,UEFA,20,12570.98,628.549,O10 / S6 / C,S10 / T3 / C,full,,S4 / C,all,F,QF,top,F,QF,top,F,,,,,
Spain,UEFA,20,5609.78,280.489,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,SF,,,,
Germany,UEFA,18,4819.46,267.7478,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,,,,,
Italy,UEFA,20,5236.91,261.8455,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,SF,,,,
France,UEFA,18,3853.8,214.1,O10 / S4 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,,,,,
Portugal,UEFA,18,1801.13,100.0628,,S5 / C,full,,,,,F,R16,,F,QF,,F,,,,
Brazil,CONMEBOL,20,1944.81,97.2405,,S5 / C,full,,,,,F,R16,,,,,F,,,F,SF
Türkiye,UEFA,18,1372.33,76.2406,,S5 / C,full,,,,,F,QF,,,,,F,SF,,,
Netherlands,UEFA,18,1311.78,72.8767,,S5 / C,full,,,,,F,R16,,,,,F,,,,
Belgium,UEFA,16,1054.05,65.8781,,S2 / S5 / C,full,,,,,F,R16,,,,,F,,,,
Russia,UEFA,16,1044.54,65.2837,,S5 / C,full,,,,,F,PQF,,,,,F,,,,
Saudi Arabia,AFC,18,1109.15,61.6194,,S5 / C,full,,,,,F,R16,,,,,F,SF,,,
Mexico,CONCACAF,18,860.55,47.8083,,SF,full,,,,,,,,,,,F,,,,
USA,CONCACAF,30,1360.54,45.3513,,S5 / C / SF,full,,,,,F,R16,,,,,,,,,
Greece,UEFA,14,539.43,38.5307,,S3 / C,,,,,,,,,,,,,,,,
Denmark,UEFA,12,411.53,34.2942,,S3 / C,,,,,,,,,,,,,,,,
Scotland,UEFA,12,396.17,33.0142,,S3 / C,,,,,,,,,,,,,,,,
Switzerland,UEFA,12,383.98,31.9983,,S3 / C,,,,,,,,,,,,,,,,
Argentina,CONMEBOL,30,939.45,31.315,,F / C,,,,,,,,,,,,,,,,
Qatar,AFC,12,360.83,30.0692,,S3 / C,,,,,,,,,,,,,,,,
Austria,UEFA,12,359.16,29.93,,C,,,,,,,,,,,,,,,,
United Arab Emirates,AFC,14,361.57,25.8264,,C,,,,,,,,,,,,,,,,
Ukraine,UEFA,16,405.55,25.3469,,C,,,,,,,,,,,,,,,,
Czechia,UEFA,16,397.78,24.8612,,C,,,,,,,,,,,,,,,,
Poland,UEFA,18,382.75,21.2639,,C,,,,,,,,,,,,,,,,
Norway,UEFA,16,335.05,20.9406,,C,,,,,,,,,,,,,,,,
Croatia,UEFA,10,202.58,20.258,,C,,,,,,,,,,,,,,,,
Serbia,UEFA,16,273.5,17.0938,,C,,,,,,,,,,,,,,,,
Japan,AFC,20,310.83,15.5415,,C,,,,,,,,,,,,,,,,
Romania,UEFA,16,235.21,14.7006,,C,,,,,,,,,,,,,,,,
Sweden,UEFA,16,232.59,14.5369,,C,,,,,,,,,,,,,,,,
Bulgaria,UEFA,16,198.79,12.4244,,C,,,,,,,,,,,,,,,,
Hungary,UEFA,12,146.6,12.2167,,C,,,,,,,,,,,,,,,,
Israel,UEFA,14,167.9,11.9929,,C,,,,,,,,,,,,,,,,
Paraguay,CONMEBOL,12,137.43,11.4525,,C,,,,,,,,,,,,,,,,
Cyprus,UEFA,14,151.13,10.795,,C,,,,,,,,,,,,,,,,
Uruguay,CONMEBOL,16,166.9,10.4313,,F,,,,,,,,,,,,,,,,
China PR,AFC,16,165.8,10.3625,,C,,,,,,,,,,,,,,,,
Colombia,CONMEBOL,20,206.3,10.315,,C,,,,,,,,,,,,,,,,
Azerbaijan,UEFA,12,123.43,10.2858,,C,,,,,,,,,,,,,,,,
Korea Republic,AFC,12,121.3,10.1083,,C,,,,,,,,,,,,,,,,
Ecuador,CONMEBOL,16,158.4,9.9,,C,,,,,,,,,,,,,,,,
Chile,CONMEBOL,16,156.88,9.805,,C,,,,,,,,,,,,,,,,
South Africa,CAF,16,154.78,9.6738,,C,,,,,,,,,,,,,,,,
Slovakia,UEFA,12,107.19,8.9325,,C,,,,,,,,,,,,,,,,
Australia,AFC,12,105.38,8.7817,,C,,,,,,,,,,,,,,,,
Egypt,CAF,21,183.98,8.761,,C,,,,,,,,,,,,,,,,
Morocco,CAF,16,138.53,8.6581,,C,,,,,,,,,,,,,,,,
IR Iran,AFC,16,133.18,8.3238,,C,,,,,,,,,,,,,,,,
Peru,CONMEBOL,18,135.2,7.5111,,C,,,,,,,,,,,,,,,,
Slovenia,UEFA,10,66.15,6.615,,,,,,,,,,,,,,,,,,
Uzbekistan,AFC,16,98.38,6.1487,,,,,,,,,,,,,,,,,,
Algeria,CAF,16,94.9,5.9313,,,,,,,,,,,,,,,,,,
Venezuela,CONMEBOL,14,81.71,5.8364,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,UEFA,10,57,5.7,,,,,,,,,,,,,,,,,,
Tunisia,CAF,16,90.9,5.6813,,,,,,,,,,,,,,,,,,
Bolivia,CONMEBOL,16,89.2,5.575,,,,,,,,,,,,,,,,,,
Kazakhstan,UEFA,16,82.42,5.1513,,,,,,,,,,,,,,,,,,
Thailand,AFC,16,80.43,5.0269,,,,,,,,,,,,,,,,,,
Kosovo,UEFA,10,49.96,4.996,,,,,,,,,,,,,,,,,,
Albania,UEFA,10,49.44,4.944,,,,,,,,,,,,,,,,,,
Armenia,UEFA,10,49,4.9,,,,,,,,,,,,,,,,,,
Indonesia,AFC,18,87.7,4.8722,,,,,,,,,,,,,,,,,,
Costa Rica,CONCACAF,10,48.55,4.855,,,,,,,,,,,,,,,,,,
Iraq,AFC,20,95.74,4.787,,,,,,,,,,,,,,,,,,
Latvia,UEFA,10,45.5,4.55,,,,,,,,,,,,,,,,,,
Malaysia,AFC,13,57.14,4.3954,,,,,,,,,,,,,,,,,,
Lithuania,UEFA,10,42.85,4.285,,,,,,,,,,,,,,,,,,
Vietnam,AFC,14,56.95,4.0679,,,,,,,,,,,,,,,,,,
Belarus,UEFA,16,63.53,3.9706,,,,,,,,,,,,,,,,,,
Malta,UEFA,12,46.5,3.875,,,,,,,,,,,,,,,,,,
Moldova,UEFA,8,28.09,3.5112,,,,,,,,,,,,,,,,,,
Guatemala,CONCACAF,12,40.1,3.3417,,,,,,,,,,,,,,,,,,
Republic of Ireland,UEFA,10,32.63,3.263,,,,,,,,,,,,,,,,,,
Finland,UEFA,12,38.75,3.2292,,,,,,,,,,,,,,,,,,
Jordan,AFC,10,30.98,3.098,,,,,,,,,,,,,,,,,,
North Macedonia,UEFA,12,36.55,3.0458,,,,,,,,,,,,,,,,,,
Montenegro,UEFA,10,29.05,2.905,,,,,,,,,,,,,,,,,,
Georgia,UEFA,10,28.69,2.869,,,,,,,,,,,,,,,,,,
El Salvador,CONCACAF,12,34.34,2.8617,,,,,,,,,,,,,,,,,,
Oman,AFC,14,39.88,2.8486,,,,,,,,,,,,,,,,,,
Lebanon,AFC,12,32.91,2.7425,,,,,,,,,,,,,,,,,,
Honduras,CONCACAF,11,29.93,2.7209,,,,,,,,,,,,,,,,,,
India,AFC,14,36.93,2.6379,,,,,,,,,,,,,,,,,,
Panama,CONCACAF,12,29.88,2.49,,,,,,,,,,,,,,,,,,
Iceland,UEFA,12,29.85,2.4875,,,,,,,,,,,,,,,,,,
Libya,CAF,36,89.45,2.4847,,,,,,,,,,,,,,,,,,
Northern Ireland,UEFA,12,28.89,2.4075,,,,,,,,,,,,,,,,,,
Singapore,AFC,8,19.02,2.3775,,,,,,,,,,,,,,,,,,
Andorra,UEFA,10,23.72,2.372,,,,,,,,,,,,,,,,,,
Estonia,UEFA,10,23.4,2.34,,,,,,,,,,,,,,,,,,
Canada,CONCACAF,8,18.61,2.3262,,,,,,,,F,SF,,,,,,,,,
Kyrgyz Republic,AFC,16,37.11,2.3194,,,,,,,,,,,,,,,,,,
Uganda,CAF,16,34.8,2.175,,,,,,,,,,,,,,,,,,
"Hong Kong, China",AFC,10,20.85,2.085,,,,,,,,,,,,,,,,,,
Tajikistan,AFC,12,20.05,1.6708,,,,,,,,,,,,,,,,,,
Luxembourg,UEFA,16,26.14,1.6338,,,,,,,,,,,,,,,,,,
Ethiopia,CAF,20,32.04,1.602,,,,,,,,,,,,,,,,,,
Senegal,CAF,16,24.96,1.56,,,,,,,,,,,,,,,,,,
Bangladesh,AFC,10,15.55,1.555,,,,,,,,,,,,,,,,,,
Cambodia,AFC,11,17.01,1.5464,,,,,,,,,,,,,,,,,,
Ghana,CAF,18,26.23,1.4572,,,,,,,,,,,,,,,,,,
Faroe Islands,UEFA,10,13.72,1.372,,,,,,,,,,,,,,,,,,
Fiji,OFC,10,13.32,1.332,,,,,,,,,,,,,,,,,,
Myanmar,AFC,12,15.83,1.3192,,,,,,,,,,,,,,,,,,
Wales,UEFA,12,13.58,1.1317,,,,,,,,,,,,,,,,,,
New Zealand,OFC,32,33.33,1.0416,,,,,,,,,,,,,,,,,,
Philippines,AFC,11,11.45,1.0409,,,,,,,,,,,,,,,,,,
Gibraltar,UEFA,12,10.52,0.8767,,,,,,,,,,,,,,,,,,
San Marino,UEFA,16,11.16,0.6975,,,,,,,,,,,,,,,,,,
Chinese Taipei,AFC,8,4.95,0.6188,,,,,,,,,,,,,,,,,,
Laos,AFC,10,4.86,0.486,,,,,,,,,,,,,,,,,,
Nicaragua,CONCACAF,10,2.93,0.293,,,,,,,,,,,,,,,,,,
Nigeria,CAF,20,1.36,0.068,,,,,,,,,,,,,,,,,,
Jamaica,CONCACAF,14,0.7,0.05,,,,,,,,,,,,,,,,,,
Dominican Republic,CONCACAF,12,0.225,0.0187,,,,,,,,,,,,,,,,,,
Puerto Rica,CONCACAF,11,0.175,0.0159,,,,,,,,,,,,,,,,,,
