snapshot,competition,confederation,teams,total_market_value,average_market_value
2024,UEFA Champions League,UEFA,16,11589.01,724.3131
2024,UEFA Europa League,UEFA,16,5974.98,373.4362
2024,UEFA Europa Conference League,UEFA,16,2833.99,177.1244
2024,Copa Libertadores,CONMEBOL,16,1229.8,76.8625
2024,Leagues Cup,CONCACAF,16,969.57,60.5981
2024,CONCACAF Champions Cup,CONCACAF,16,888.91,55.5569
2024,AFC Champions League,AFC,16,812.96,50.81
2024,Copa Sudamericana,CONMEBOL,16,738.98,46.1863
2024,Arab Club Champions Cup,UAFA,16,724.46,45.2788
2024,African Football League,CAF,8,104.81,13.1013
2024,CAF Champions League,CAF,16,198.09,12.3806
2024,CAF Confederation Cup,CAF,16,104.94,6.5587
2024,AFC Cup,AFC,16,87.67,5.4794
2024,CONCACAF Central American Cup,CONCACAF,16,68.41,4.2756
2024,OFC Champions League,OFC,6,13,2.1667
2024,CONCACAF Caribbean Cup,CONCACAF,5,1.35,0.27
2024,CONCACAF Caribbean Shield,CONCACAF,3,0.14,0.0467
2025,UEFA Champions League,UEFA,16,12532.55,783.2844
2025,FIFA Club World Cup,FIFA,16,9001.05,562.5656
2025,UEFA Europa League,UEFA,16,5034.16,314.635
2025,FIFA Intercontinental Cup,FIFA,6,1481.44,246.9067
2025,UEFA Conference League,UEFA,16,2080.18,130.0112
2025,Copa Libertadores,CONMEBOL,16,1475.64,92.2275
2025,Leagues Cup,CONCACAF,16,1019.03,63.6894
2025,CONCACAF Champions Cup,CONCACAF,16,927.11,57.9444
2025,AFC Champions League Elite,AFC,16,906.39,56.6494
2025,Copa Sudamericana,CONMEBOL,16,694.8,43.425
2025,AFC Champions League Two,AFC,16,260.64,16.29
2025,CAF Champions League,CAF,16,191.19,11.9494
2025,CAF Confederation Cup,CAF,16,106.87,6.6794
2025,CONCACAF Central American Cup,CONCACAF,16,66.78,4.1738
2025,AFC Challenge League,AFC,16,49.13,3.0706
2025,OFC Men's Champions League,OFC,6,12.4,2.0667
2025,CONCACAF Caribbean Cup,CONCACAF,7,1.69,0.2414
2025,CFU Club Shield,CONCACAF,4,0.53,0.1325
