snapshot,country,tier,confederation,teams,total_market_value,average_market_value,note
2024-03,England,1,UEFA,20,11090,554.5,
2024-03,Spain,1,UEFA,20,4970,248.5,
2024-03,Italy,1,UEFA,20,4770,238.5,
2024-03,Germany,1,UEFA,18,4220,234.4444,
2024-03,France,1,UEFA,18,3620,201.1111,
2024-03,Portugal,1,UEFA,18,1450,80.5556,
2024-03,Brazil,1,CONMEBOL,20,1480,74,
2024-03,England,2,UEFA,24,1690,70.4167,
2024-03,Netherlands,1,UEFA,18,1240,68.8889,
2024-03,Belgium,1,UEFA,16,901.98,56.3738,
2024-03,Türkiye,1,UEFA,20,1110,55.5,
2024-03,Saudi Arabia,1,AFC,18,993.45,55.1917,
2024-03,Russia,1,UEFA,16,857.28,53.58,
2024-03,Mexico,1,CONCACAF,18,860.23,47.7906,
2024-03,USA / Canada,1,CONCACAF,29,1220,42.069,
2024-03,Austria,1,UEFA,12,426.2,35.5167,
2024-03,Greece,1,UEFA,14,456.15,32.5821,
2024-03,Argentina,1,CONMEBOL,28,858.75,30.6696,
2024-03,Scotland,1,UEFA,12,331.38,27.615,
2024-03,Switzerland,1,UEFA,12,328.43,27.3692,
2024-03,Denmark,1,UEFA,12,317.1,26.425,
2024-03,Germany,2,UEFA,18,455.3,25.2944,
2024-03,Italy,2,UEFA,20,484.45,24.2225,
2024-03,Qatar,1,AFC,12,285.5,23.7917,
2024-03,Croatia,1,UEFA,10,234.56,23.456,
2024-03,Spain,2,UEFA,22,510.4,23.2,
2024-03,United Arab Emirates,1,AFC,14,313.9,22.4214,
2024-03,Ukraine,1,UEFA,16,317.41,19.8381,
2024-03,France,2,UEFA,20,352.53,17.6265,
2024-03,Serbia,1,UEFA,16,252.22,15.7637,
2024-03,Czechia,1,UEFA,16,246.01,15.3756,
2024-03,Poland,1,UEFA,18,268.28,14.9044,
2024-03,Japan,1,AFC,20,288.63,14.4315,
2024-03,Sweden,1,UEFA,16,227.53,14.2206,
2024-03,Romania,1,UEFA,16,214.58,13.4113,
2024-03,Norway,1,UEFA,16,213.53,13.3456,
